"","x"
"225",6607.88404897857
"226",4232.92977167987
"227",5195.55954053141
"228",8239.10179410548
"229",5673.64918426914
"230",5565.70503302764
"231",4515.2678634126
"232",4747.96561406602
"233",3504.42667579087
"234",5629.55862447481
"235",7605.60253877884
"236",5180.2756240198
"237",9268.32257808766
"238",7019.0499799852
"239",3679.22977489311
"240",5518.34547564607
"241",5661.03510229583
"242",5156.93670726044
"243",4333.65328459293
"244",5640.96021957904
"245",3893.65941692498
"246",4678.97250164835
"247",7275.69688553191
"248",3500.20186863982
"249",7948.47008770061
"250",5698.61151563658
"251",12429.0337600002
"252",4529.71609747943
"253",9919.13646038996
"254",4543.21373448496
"255",4883.55371438018
"256",4606.66738298161
"257",6267.86557152221
"258",7568.20122005756
"259",4015.90606417621
"260",3929.13528138902
"261",8252.66921196216
"262",6002.49895659681
"263",8602.15196633951
"264",4407.44787133185
"265",3337.04041758789
"266",7283.95449629488
"267",4417.03222156367
"268",4104.22075052253
"269",4631.69324681743
"270",3943.86676562031
"271",7882.17180340724
"272",3814.83847655426
"273",7658.40937514379
"274",5288.2885243548
"275",4232.00774115029
"276",4510.68977181755
"277",4131.10960862788
"278",3637.30061833833
"279",5681.60852241529
"280",5047.02588593521
"281",4635.25404102056
"282",6953.70193832855
"283",6302.98430625009
"284",7310.50899180657
"285",4151.2333129
"286",5645.27950708272
"287",7060.20391157735
"288",6185.88437085522
"289",4320.93867277677
"290",4417.03222156367
"291",6727.65598850336
"292",5811.34574278505
"293",7297.17864788313
"294",4232.92977167987
"295",5194.78300214876
"296",7518.49767170929
"297",5597.42304511333
"298",7524.84428583613
"299",3722.77266003498
"300",4992.54977446631
"301",3814.83847655426
"302",4734.56356177789
"303",5214.5419004304
"304",3642.29516932297
"305",3789.64950635158
"306",5423.59302431054
"307",4229.24318214151
"308",7367.07055980785
"309",4121.58231529702
"310",4762.40640848145
"311",5539.20717757052
"312",3180.03059936314
"313",4143.06249825671
"314",8687.43888449232
"315",5060.59586166233
"316",3943.86676562031
"317",3874.59319795883
"318",5256.85322890963
"319",4598.46517154454
"320",4216.83924332595
"321",5316.96147196702
"322",4830.02003942099
"323",6132.40693771175
"324",5700.95779770546
"325",4519.90680789046
"326",4929.14822930648
"327",7809.97565182254
"328",5917.11743440044
"329",5425.95935765006
"330",4118.79899086162
"331",5463.57778683344
"332",5198.1868628279
"333",4672.76358141801
"334",4527.83948432327
"335",5863.09191538524
"336",4547.01797546794
"337",5926.12921543716
"338",7926.79220598162
"339",5392.8641650093
"340",3633.985672414
"341",8420.57674958077
"342",6486.29192230144
"343",4834.91172113722
"344",7416.78282654783
"345",4247.42228909767
"346",4303.17520105216
"347",5772.09078802315
"348",5825.51606030328
"349",6032.34630309209
"350",5153.2458811672
"351",5498.67783797194
"352",9153.577703647
"353",4804.39365311761
"354",6140.50919727614
"355",5726.11562585121
"356",4247.33513591563
"357",5518.34547564607
"358",8572.85420622725
"359",3753.37559871948
"360",7666.79619931375
"361",5820.06751234196
"362",4232.92977167987
"363",5698.61151563658
"364",5075.88797751052
"365",6903.92534694632
"366",4232.92977167987
"367",4531.74241779006
"368",4556.06945682867
"369",6103.12360606064
"370",3915.22679596236
"371",5337.40237654911
"372",4732.39918812517
"373",3836.9142450214
"374",3794.94101248101
"375",5653.72120448227
"376",5369.46867516183
"377",3999.56036712808
"378",7147.46738575795
"379",3960.99437566291
"380",4421.35363663502
"381",5798.73325608686
"382",4983.74433140431
"383",4312.59366593049
"384",5992.42674889795
"385",4615.32457780841
"386",4306.0549443844
"387",3705.99455070267
"388",3706.09301491154
"389",5106.91508572997
"390",4080.57506979731
"391",7192.04886820865
"392",4810.83961019534
